dataset,budget_level,budget_seconds,method,run,seed,best_score,configs_evaluated,time_used
letter,low,120,random_search,8,8,0.9551146193714884,14,127.07512497901917
letter,low,120,random_search,9,9,0.9602265982540444,12,117.18636703491212
letter,low,120,sha,0,0,0.9637342805386744,40,65.68191623687744
letter,low,120,sha,1,1,0.9573851332619756,40,44.074729204177856
letter,low,120,sha,2,2,0.9532232291657294,40,35.07963991165161
letter,low,120,sha,3,3,0.948251206818998,40,63.88252902030945
letter,low,120,sha,4,4,0.9509456671835632,40,43.68932294845581
letter,low,120,sha,5,5,0.9511691518244746,40,74.91085696220398
letter,low,120,sha,6,6,0.957316209630962,40,63.2594428062439
letter,low,120,sha,7,7,0.950590984134197,40,52.93742799758911
letter,low,120,sha,8,8,0.9546906068979274,40,71.41927981376648
letter,low,120,sha,9,9,0.9552640345899238,40,44.898998975753784
letter,low,120,hyperband,0,0,0.9637342805386744,167,120.36395692825316
letter,low,120,hyperband,1,1,0.9612002166027462,166,122.49928903579712
letter,low,120,hyperband,2,2,0.955440905259742,173,121.74464511871338
letter,low,120,hyperband,3,3,0.958646822172549,170,122.02818298339844
letter,low,120,hyperband,4,4,0.9610010288650932,168,125.8206741809845
letter,low,120,hyperband,5,5,0.9587543915884874,176,122.06971216201782
letter,low,120,hyperband,6,6,0.9602127747992528,187,125.62272691726685
letter,low,120,hyperband,7,7,0.950590984134197,158,121.6082239151001
letter,low,120,hyperband,8,8,0.9581566052441368,168,128.1304850578308
letter,low,120,hyperband,9,9,0.9552640345899238,169,121.20461893081664
letter,medium,300,random_search,0,0,0.9637342805386744,26,292.2678699493408
letter,medium,300,random_search,1,1,0.9573851332619756,25,293.55796122550964
letter,medium,300,random_search,2,2,0.954197339708452,27,298.3047959804535
letter,medium,300,random_search,3,3,0.9516173561415572,29,286.8492250442505
letter,medium,300,random_search,4,4,0.954984911469157,26,291.4310929775238
letter,medium,300,random_search,5,5,0.9588779381943208,26,285.4937798976898
letter,medium,300,random_search,6,6,0.957316209630962,25,300.18294978141785
letter,medium,300,random_search,7,7,0.9550838596771868,39,285.43893098831177
letter,medium,300,random_search,8,8,0.9555466302799284,32,294.9434280395508
letter,medium,300,random_search,9,9,0.9602265982540444,34,289.24832916259766
letter,medium,300,sha,0,0,0.9637342805386744,40,65.65905094146729
letter,medium,300,sha,1,1,0.9573851332619756,40,44.00138807296753
letter,medium,300,sha,2,2,0.9532232291657294,40,35.00408172607422
letter,medium,300,sha,3,3,0.948251206818998,40,63.81041193008423
letter,medium,300,sha,4,4,0.9509456671835632,40,43.63056778907776
letter,medium,300,sha,5,5,0.9511691518244746,40,74.81887125968933
letter,medium,300,sha,6,6,0.957316209630962,40,63.24009323120117
letter,medium,300,sha,7,7,0.950590984134197,40,52.954997062683105
letter,medium,300,sha,8,8,0.9546906068979274,40,71.52280592918396
